name,combination,weights,cagr,risk
x52,"('IWY', 'IHAK')","[0.6, 0.4]",16.179159657488906,44.06779661016949
x53,"('IWY', 'IHAK')","[0.8, 0.2]",16.977519027698882,42.3728813559322
x54,"('IWY', 'QUAL')","[0.2, 0.8]",13.768296985352379,35.96491228070175
x55,"('IWY', 'QUAL')","[0.4, 0.6]",14.113747445230418,36.84210526315789
x56,"('IWY', 'QUAL')","[0.6, 0.4]",14.450531275822431,35.08771929824561
x57,"('IWY', 'QUAL')","[0.8, 0.2]",14.77909638451722,35.08771929824561
x58,"('IWY', 'SUSL')","[0.2, 0.8]",15.377617007205258,38.333333333333336
x59,"('IWY', 'SUSL')","[0.4, 0.6]",16.47734719244709,36.666666666666664
x60,"('IWY', 'SUSL')","[0.6, 0.4]",17.53704778934113,36.666666666666664
x61,"('IWY', 'SUSL')","[0.8, 0.2]",18.55985509425322,36.666666666666664
x62,"('IWY', 'DSI')","[0.2, 0.8]",12.465535586004407,35.22727272727273
x63,"('IWY', 'DSI')","[0.4, 0.6]",13.198304971581365,35.22727272727273
x64,"('IWY', 'DSI')","[0.6, 0.4]",13.871475834837543,34.659090909090914
x65,"('IWY', 'DSI')","[0.8, 0.2]",14.494296100817007,34.659090909090914
x66,"('IWY', 'MTUM')","[0.2, 0.8]",13.099989139409352,37.59398496240601
x67,"('IWY', 'MTUM')","[0.4, 0.6]",13.829830444406245,36.84210526315789
x68,"('IWY', 'MTUM')","[0.6, 0.4]",14.515334027061932,36.09022556390977
x69,"('IWY', 'MTUM')","[0.8, 0.2]",15.161801994204671,34.58646616541353
x70,"('USXF', 'XVV')","[0.2, 0.8]",12.418649616618914,36.36363636363637
x71,"('USXF', 'XVV')","[0.4, 0.6]",12.620723923465382,36.36363636363637
x72,"('USXF', 'XVV')","[0.6, 0.4]",12.821835950128735,36.36363636363637
x73,"('USXF', 'XVV')","[0.8, 0.2]",13.021996509035283,36.36363636363637
x74,"('USXF', 'IHAK')","[0.2, 0.8]",12.154931615132082,42.5531914893617
x75,"('USXF', 'IHAK')","[0.4, 0.6]",12.874097119032823,44.680851063829785
x76,"('USXF', 'IHAK')","[0.6, 0.4]",13.580141199521867,42.5531914893617
x77,"('USXF', 'IHAK')","[0.8, 0.2]",14.273611367160655,40.42553191489361
x78,"('USXF', 'QUAL')","[0.2, 0.8]",15.316776875273753,34.04255319148936
x79,"('USXF', 'QUAL')","[0.4, 0.6]",15.22664790736792,34.04255319148936
x80,"('USXF', 'QUAL')","[0.6, 0.4]",15.136312850364032,34.04255319148936
x81,"('USXF', 'QUAL')","[0.8, 0.2]",15.045770596803543,38.297872340425535
x82,"('USXF', 'SUSL')","[0.2, 0.8]",14.470284894814256,38.297872340425535
x83,"('USXF', 'SUSL')","[0.4, 0.6]",14.592030112483755,38.297872340425535
x84,"('USXF', 'SUSL')","[0.6, 0.4]",14.713399238837454,38.297872340425535
x85,"('USXF', 'SUSL')","[0.8, 0.2]",14.83439498458765,38.297872340425535
x86,"('USXF', 'DSI')","[0.2, 0.8]",14.003713129055196,38.297872340425535
x87,"('USXF', 'DSI')","[0.4, 0.6]",14.243711649711145,38.297872340425535
x88,"('USXF', 'DSI')","[0.6, 0.4]",14.482248593146796,38.297872340425535
x89,"('USXF', 'DSI')","[0.8, 0.2]",14.71934464393614,38.297872340425535
x90,"('USXF', 'MTUM')","[0.2, 0.8]",10.456982434975304,40.42553191489361
x91,"('USXF', 'MTUM')","[0.4, 0.6]",11.63168315848604,42.5531914893617
x92,"('USXF', 'MTUM')","[0.6, 0.4]",12.771397622804148,38.297872340425535
x93,"('USXF', 'MTUM')","[0.8, 0.2]",13.878473566499693,38.297872340425535
x94,"('XVV', 'IHAK')","[0.2, 0.8]",11.024470761210159,40.909090909090914
x95,"('XVV', 'IHAK')","[0.4, 0.6]",11.325449169927971,43.18181818181818
x96,"('XVV', 'IHAK')","[0.6, 0.4]",11.624273162593624,40.909090909090914
x97,"('XVV', 'IHAK')","[0.8, 0.2]",11.920979008429056,38.63636363636363
x98,"('XVV', 'QUAL')","[0.2, 0.8]",14.566137441334792,34.090909090909086
x99,"('XVV', 'QUAL')","[0.4, 0.6]",13.990551226199432,34.090909090909086
x100,"('XVV', 'QUAL')","[0.6, 0.4]",13.407108595871753,36.36363636363637
x101,"('XVV', 'QUAL')","[0.8, 0.2]",12.815549984708907,36.36363636363637
x102,"('XVV', 'SUSL')","[0.2, 0.8]",12.925829290382772,36.36363636363637
x103,"('XVV', 'SUSL')","[0.4, 0.6]",12.749388974404674,36.36363636363637
x104,"('XVV', 'SUSL')","[0.6, 0.4]",12.572209278190094,36.36363636363637
x105,"('XVV', 'SUSL')","[0.8, 0.2]",12.394282800359925,36.36363636363637
x106,"('XVV', 'DSI')","[0.2, 0.8]",12.250836023697254,36.36363636363637
x107,"('XVV', 'DSI')","[0.4, 0.6]",12.242030288083793,36.36363636363637
x108,"('XVV', 'DSI')","[0.6, 0.4]",12.233222709852098,36.36363636363637
x109,"('XVV', 'DSI')","[0.8, 0.2]",12.224413288086101,36.36363636363637
x110,"('XVV', 'MTUM')","[0.2, 0.8]",7.674578497774376,40.909090909090914
x111,"('XVV', 'MTUM')","[0.4, 0.6]",8.857737117943177,40.909090909090914
x112,"('XVV', 'MTUM')","[0.6, 0.4]",10.00756414873505,36.36363636363637
x113,"('XVV', 'MTUM')","[0.8, 0.2]",11.126206884181954,36.36363636363637
x114,"('IHAK', 'QUAL')","[0.2, 0.8]",14.736205160075343,35.59322033898305
x115,"('IHAK', 'QUAL')","[0.4, 0.6]",14.467379658881828,38.983050847457626
x116,"('IHAK', 'QUAL')","[0.6, 0.4]",14.19605844291263,42.3728813559322
x117,"('IHAK', 'QUAL')","[0.8, 0.2]",13.92218864031458,40.67796610169492
x118,"('IHAK', 'SUSL')","[0.2, 0.8]",12.971672319413297,37.28813559322034
x119,"('IHAK', 'SUSL')","[0.4, 0.6]",13.1416618925291,38.983050847457626
x120,"('IHAK', 'SUSL')","[0.6, 0.4]",13.310656993053605,42.3728813559322
x121,"('IHAK', 'SUSL')","[0.8, 0.2]",13.478670646532564,40.67796610169492
x122,"('IHAK', 'DSI')","[0.2, 0.8]",12.742435283992503,37.28813559322034
x123,"('IHAK', 'DSI')","[0.4, 0.6]",12.97091760517597,40.67796610169492
x124,"('IHAK', 'DSI')","[0.6, 0.4]",13.197604230720028,42.3728813559322
x125,"('IHAK', 'DSI')","[0.8, 0.2]",13.422526678819402,42.3728813559322
x126,"('IHAK', 'MTUM')","[0.2, 0.8]",10.42457673089161,42.3728813559322
x127,"('IHAK', 'MTUM')","[0.4, 0.6]",11.264580236775835,40.67796610169492
x128,"('IHAK', 'MTUM')","[0.6, 0.4]",12.080455654340327,40.67796610169492
x129,"('IHAK', 'MTUM')","[0.8, 0.2]",12.873711818096357,38.983050847457626
x130,"('QUAL', 'SUSL')","[0.2, 0.8]",14.625088428991218,33.33333333333333
x131,"('QUAL', 'SUSL')","[0.4, 0.6]",15.01063326359029,31.666666666666664
x132,"('QUAL', 'SUSL')","[0.6, 0.4]",15.391076586434881,33.33333333333333
x133,"('QUAL', 'SUSL')","[0.8, 0.2]",15.766567811927136,33.33333333333333
x134,"('QUAL', 'DSI')","[0.2, 0.8]",11.105438586630513,39.473684210526315
x135,"('QUAL', 'DSI')","[0.4, 0.6]",11.721472533716582,35.96491228070175
x136,"('QUAL', 'DSI')","[0.6, 0.4]",12.30991980749061,35.96491228070175
x137,"('QUAL', 'DSI')","[0.8, 0.2]",12.873272296880977,36.84210526315789
x138,"('QUAL', 'MTUM')","[0.2, 0.8]",11.687455561184223,37.719298245614034
x139,"('QUAL', 'MTUM')","[0.4, 0.6]",12.140593383905141,36.84210526315789
x140,"('QUAL', 'MTUM')","[0.6, 0.4]",12.578682276602681,36.84210526315789
x141,"('QUAL', 'MTUM')","[0.8, 0.2]",13.002742844360405,35.96491228070175
x142,"('SUSL', 'DSI')","[0.2, 0.8]",14.058085660099827,35.0
x143,"('SUSL', 'DSI')","[0.4, 0.6]",14.102237742575907,35.0
x144,"('SUSL', 'DSI')","[0.6, 0.4]",14.146321591702371,35.0
x145,"('SUSL', 'DSI')","[0.8, 0.2]",14.190337444281976,36.666666666666664
x146,"('SUSL', 'MTUM')","[0.2, 0.8]",11.67402390163308,38.333333333333336
x147,"('SUSL', 'MTUM')","[0.4, 0.6]",12.336218501697683,38.333333333333336
x148,"('SUSL', 'MTUM')","[0.6, 0.4]",12.98315761410751,36.666666666666664
x149,"('SUSL', 'MTUM')","[0.8, 0.2]",13.615609932554928,36.666666666666664
x150,"('DSI', 'MTUM')","[0.2, 0.8]",12.160828644003608,36.84210526315789
x151,"('DSI', 'MTUM')","[0.4, 0.6]",12.000040063019068,37.59398496240601
x152,"('DSI', 'MTUM')","[0.6, 0.4]",11.836889702678931,36.84210526315789
x153,"('DSI', 'MTUM')","[0.8, 0.2]",11.671303542567735,35.338345864661655
x154,"('TECB', 'IWY', 'USXF')","[0.2, 0.2, 0.6]",14.827840191775831,40.42553191489361
x155,"('TECB', 'IWY', 'USXF')","[0.2, 0.4, 0.4]",15.035451850150206,40.42553191489361
x156,"('TECB', 'IWY', 'USXF')","[0.2, 0.6, 0.2]",15.241976380392552,40.42553191489361
x157,"('TECB', 'IWY', 'USXF')","[0.4, 0.2, 0.4]",14.490855573357674,40.42553191489361
x158,"('TECB', 'IWY', 'USXF')","[0.4, 0.4, 0.2]",14.700248178171748,40.42553191489361
x159,"('TECB', 'IWY', 'USXF')","[0.6, 0.2, 0.2]",14.150952945531593,44.680851063829785
x160,"('TECB', 'IWY', 'XVV')","[0.2, 0.2, 0.6]",12.21340186164619,38.63636363636363
x161,"('TECB', 'IWY', 'XVV')","[0.2, 0.4, 0.4]",12.412758739036711,38.63636363636363
x162,"('TECB', 'IWY', 'XVV')","[0.2, 0.6, 0.2]",12.6111772585759,38.63636363636363
x163,"('TECB', 'IWY', 'XVV')","[0.4, 0.2, 0.4]",12.010885234329338,38.63636363636363
x164,"('TECB', 'IWY', 'XVV')","[0.4, 0.4, 0.2]",12.211201586381515,38.63636363636363
x165,"('TECB', 'IWY', 'XVV')","[0.6, 0.2, 0.2]",11.807387467262377,43.18181818181818
x166,"('TECB', 'IWY', 'IHAK')","[0.2, 0.2, 0.6]",14.27862839447629,44.230769230769226
x167,"('TECB', 'IWY', 'IHAK')","[0.2, 0.4, 0.4]",14.920112346530324,46.15384615384615
x168,"('TECB', 'IWY', 'IHAK')","[0.2, 0.6, 0.2]",15.549877774892074,46.15384615384615
x169,"('TECB', 'IWY', 'IHAK')","[0.4, 0.2, 0.4]",14.711443405875734,46.15384615384615
x170,"('TECB', 'IWY', 'IHAK')","[0.4, 0.4, 0.2]",15.344990276795478,44.230769230769226
x171,"('TECB', 'IWY', 'IHAK')","[0.6, 0.2, 0.2]",15.138882405389321,44.230769230769226
x172,"('TECB', 'IWY', 'QUAL')","[0.2, 0.2, 0.6]",14.130762803072837,36.53846153846153
x173,"('TECB', 'IWY', 'QUAL')","[0.2, 0.4, 0.4]",14.823430528337278,36.53846153846153
x174,"('TECB', 'IWY', 'QUAL')","[0.2, 0.6, 0.2]",15.502443585611058,38.46153846153847
x175,"('TECB', 'IWY', 'QUAL')","[0.4, 0.2, 0.4]",14.614173023651468,36.53846153846153
x176,"('TECB', 'IWY', 'QUAL')","[0.4, 0.4, 0.2]",15.297274394702143,40.38461538461539
x177,"('TECB', 'IWY', 'QUAL')","[0.6, 0.2, 0.2]",15.090880952960962,40.38461538461539
x178,"('TECB', 'IWY', 'SUSL')","[0.2, 0.2, 0.6]",13.431853071535027,40.38461538461539
x179,"('TECB', 'IWY', 'SUSL')","[0.2, 0.4, 0.4]",14.368436914726534,40.38461538461539
x180,"('TECB', 'IWY', 'SUSL')","[0.2, 0.6, 0.2]",15.280130872032904,40.38461538461539
x181,"('TECB', 'IWY', 'SUSL')","[0.4, 0.2, 0.4]",14.156380319383155,40.38461538461539
x182,"('TECB', 'IWY', 'SUSL')","[0.4, 0.4, 0.2]",15.073634703651662,40.38461538461539
x183,"('TECB', 'IWY', 'SUSL')","[0.6, 0.2, 0.2]",14.865895924261107,44.230769230769226
x184,"('TECB', 'IWY', 'DSI')","[0.2, 0.2, 0.6]",13.371909593540487,40.38461538461539
x185,"('TECB', 'IWY', 'DSI')","[0.2, 0.4, 0.4]",14.329567293950895,40.38461538461539
x186,"('TECB', 'IWY', 'DSI')","[0.2, 0.6, 0.2]",15.261209228430484,40.38461538461539
x187,"('TECB', 'IWY', 'DSI')","[0.4, 0.2, 0.4]",14.117269317228121,40.38461538461539
x188,"('TECB', 'IWY', 'DSI')","[0.4, 0.4, 0.2]",15.054599601221884,40.38461538461539
x189,"('TECB', 'IWY', 'DSI')","[0.6, 0.2, 0.2]",14.846745785956639,44.230769230769226
